
TimeEdit, Blekinge Tekniska Högskola
"MA1494, Analys 2, DV2587, Tillämpad artificiell intelligens", 2021-09-13 - 2021-12-06, 
Startdatum, Starttid, Slutdatum, Sluttid, Kurs, Moment, Grupp, Person, Lokal, Text, URL, Mitt namn, Kurs/program 
2021-10-06, 13:00, 2021-10-06, 15:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, "MTGHM20h,PAAMJ19h", , , 
2021-10-07, 13:00, 2021-10-07, 15:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-10-07, 17:00, 2021-10-07, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-10-11, 10:00, 2021-10-11, 12:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-10-12, 08:00, 2021-10-12, 10:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-10-12, 13:00, 2021-10-12, 15:00, "DV2557. Tillämpad artificiell intelligens, DV2587. Tillämpad artificiell intelligens", Lektion, , Prashant Goswami, , DVACC21h DVACD17h DVADA21h DVADA21v DVADS18h IEACI17h IEACI18h PAADA20h PAADA21v PAAPS20h PAASP18h, , , 
2021-10-12, 17:00, 2021-10-12, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-10-13, 10:00, 2021-10-13, 12:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, MTACI20h, , , 
2021-10-13, 13:00, 2021-10-13, 15:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, "MTGHM20h,PAAMJ19h", , , 
2021-10-14, 13:00, 2021-10-14, 15:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-10-14, 17:00, 2021-10-14, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-10-18, 10:00, 2021-10-18, 12:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-10-18, 15:00, 2021-10-18, 17:00, "DV2557. Tillämpad artificiell intelligens, DV2587. Tillämpad artificiell intelligens", Lektion, , Prashant Goswami, , DVACC21h DVACD17h DVADA21h DVADA21v DVADS18h IEACI17h IEACI18h PAADA20h PAADA21v PAAPS20h PAASP18h, , , 
2021-10-19, 08:00, 2021-10-19, 10:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-10-19, 17:00, 2021-10-19, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
2021-10-20, 10:00, 2021-10-20, 12:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, MTACI20h, , , 
2021-10-20, 13:00, 2021-10-20, 15:00, MA1494. Analys 2, Gruppövning, , Johan Richter, Lärosal C334, "MTGHM20h,PAAMJ19h", , , 
2021-10-21, 13:00, 2021-10-21, 15:00, MA1494. Analys 2, Föreläsning, , Johan Richter, , "MTACI20h,MTGHM20h,PAAMJ19h", , , 
2021-10-21, 17:00, 2021-10-21, 19:00, "MA1433. Matematik för Technical Artist, MA1485. Linjär algebra, MA1486. Matematisk problemlösning, MA1494. Analys 2, MA1495. Matematik grundkurs med problemlösning", Övrigt, , Raisa Khamitova, Gradängsal G340 Nail Ibragimov, Mattestuga, , , 
